latitude,longitude,Dataset,title,thumbnail_url,artist_name,year,art_type,location_description,geom,address
34.092461,-118.378395,Art Locations - City of West Hollywood,Eye Flower,images/WeHo/3023565388.jpg,James Surls,2002,Sculpture,8560 & 8590 Sunset Boulevard,"34.092461,-118.378395","8570, West Sunset Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.096123,-118.368805,Art Locations - City of West Hollywood,A Quiet Moment or The Lightness of Being,images/WeHo/3022738941.jpg,Patrick McGrath,2003,Sculpture,1414 N. Harper Avenue,"34.096123,-118.36880500000001","North Harper Avenue, Sunset Strip, West Hollywood, Los Angeles County, California, 90046-2549, United States"
34.090576,-118.344711,Art Locations - City of West Hollywood,e/MOTION,images/WeHo/3022738023.jpg,Paul Tzanetopoulos,2003,Video Screen and projections,7102 Santa Monica Boulevard,"34.090576,-118.344711","West Hollywood Gateway, Romaine Street, Fairfax, West Hollywood, Los Angeles County, California, 90046-4101, United States"
34.081963,-118.376343,Art Locations - City of West Hollywood,Children's Clock,images/WeHo/3022737693.jpg,Lynn Goodpasture,2003,Architectural,563 N. Alfred Street,"34.081963,-118.37634299999999","Melrose Avenue, West Hollywood, Los Angeles County, California, 90069, United States"
34.091267,-118.374878,Art Locations - City of West Hollywood,Still Grove of Bamboo,images/WeHo/6892905653.jpg,Michael Amescua,2006,Architectural,1137 Hacienda Place,"34.091266999999995,-118.37487800000001","1122, Hacienda Place, West Hollywood, Los Angeles County, California, 90069, United States"
34.086163,-118.371841,Art Locations - City of West Hollywood,825 Over 2,images/WeHo/3174129695.jpg,John O' Brien,2008,Sculpture,825 N. Kings Road,"34.086163,-118.37184099999999","Schindler House, North Kings Road, Beverly Grove, West Hollywood, Los Angeles County, California, 90069, United States"
34.092152,-118.375008,Art Locations - City of West Hollywood,Becoming,images/WeHo/3288932030.jpg,Hyunsook Cho,2008,Sculpture,1146 N. Hacienda Place,"34.092152,-118.37500800000001","1166, Hacienda Place, West Hollywood, Los Angeles County, California, 90069, United States"
34.095818,-118.367821,Art Locations - City of West Hollywood,With An Ear To The Earth,images/WeHo/3288932230.jpg,Steve Roden,2008,Sculpture,1351 N. Havenhurst Drive (Havenhurst Park),"34.095818,-118.36782099999999","Havenhurst Drive, Sunset Strip, West Hollywood, Los Angeles County, California, 90046-2549, United States"
34.09531,-118.372925,Art Locations - City of West Hollywood,The Departure,images/WeHo/3288115613.jpg,Jacob Hashimoto,2008,Sculpture,8401 Sunset Boulevard,"34.09531,-118.372925","Andaz West Hollywood, 8401, West Sunset Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.091801,-118.346069,Art Locations - City of West Hollywood,Tree Form,images/WeHo/6892905057.jpg,Karl Saliter,2009,Sculpture,1140 N. Formosa Street (Formosa Park),"34.091801000000004,-118.346069","1160, North Formosa Avenue, West Hollywood, Los Angeles County, California, 90046, United States"
34.089912,-118.385406,Art Locations - City of West Hollywood,Pattern Language (The London Gates),images/WeHo/6892904681.jpg,Charles Fine,2009,Sculpture,1020 San Vicente Boulevard,"34.089912,-118.385406","The London West Hollywood, 1020, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90027, United States"
34.088909,-118.371246,Art Locations - City of West Hollywood,Dodge House Art Wall,images/WeHo/4026999810.jpg,Brickstone Studios,2009,Architectural,1000 N. Kings Road (Kings Road Park),"34.088909,-118.371246","Hollywood Film Archive Library, North Kings Road, Beverly Grove, West Hollywood, Los Angeles County, California, 90069, United States"
34.089085,-118.371582,Art Locations - City of West Hollywood,Untitled,images/WeHo/6892905389.jpg,Leonard Cave,2009,Sculpture,1000 N. Kings Road (Kings Road Park),"34.089085,-118.371582","Hollywood Film Archive Library, North Kings Road, Beverly Grove, West Hollywood, Los Angeles County, California, 90069, United States"
34.083344,-118.386772,Art Locations - City of West Hollywood,Ogling,images/WeHo/6892906275.jpg,Anne Marie Karlsen,2009,Tile Mural,8969 Santa Monica Boulevard (Pavilions),"34.083344,-118.386772","Pavillions, 8969, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.081741,-118.383705,Art Locations - City of West Hollywood,Platanus Bibliotechalis,images/WeHo/30009178901.jpg,David Wiseman,2011,Sculpture,625 N. San Vicente Blvd,"34.081741,-118.383705","West Hollywood Branch County of Los Angeles Public Library, 625, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.092285,-118.379501,Art Locations - City of West Hollywood,Sunset Strip Poinsettia Fields,images/WeHo/30092628065.jpg,Brad Howe,2011,Sculpture,8600 Sunset Blvd.,"34.092285,-118.379501","Sunset Plaza, West Sunset Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.081825,-118.383774,Art Locations - City of West Hollywood,"Peace, Freedom, and Creativity",images/WeHo/29464587564.jpg,Shepard Fairey,2011,Mural,625 N. San Vicente Blvd,"34.081825,-118.383774","West Hollywood Branch County of Los Angeles Public Library, 625, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.082185,-118.3842395,Art Locations - City of West Hollywood,Horizon; Cubes,images/WeHo/30009018521.jpg,Erwin Redl,2012,Light sculpture,8687 Melrose Avenue,"34.082184999999996,-118.3842395","West Hollywood Branch County of Los Angeles Public Library, 625, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.0937726,-118.3440788,Art Locations - City of West Hollywood,Studwall,images/WeHo/30092720875.jpg,Ball Nogues,2013,Sculpture,1287 N. La Brea Blvd.,"34.0937726,-118.34407879999999","La Brea & Fountain, North La Brea Avenue, West Hollywood, Los Angeles County, California, 90046-4101, United States"
34.0925855,-118.3725138,Art Locations - City of West Hollywood,Three Kings,images/WeHo/29464819184.jpg,Guy Dill,2013,Architectural,1232 Kings Road,"34.0925855,-118.37251380000001","Cosmopolitan On Kings, 1203, North Kings Road, West Hollywood, Los Angeles County, California, 90069, United States"
34.081741,-118.383705,Art Locations - City of West Hollywood,Doggie Dog (Homage to Giacometti),images/WeHo/29464852393.jpg,Tsipi Mani,2013,Sculpture,625 N. San Vicente Blvd,"34.081741,-118.383705","West Hollywood Branch County of Los Angeles Public Library, 625, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.0907095,-118.3444537,Art Locations - City of West Hollywood,Corner Glory,images/WeHo/29797542940.jpg,Ball Nogues,2013,Sculpture,7109 Santa Monica Blvd,"34.090709499999996,-118.3444537","Santa Monica & La Brea, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90046-4101, United States"
34.0825,-118.374045,Art Locations - City of West Hollywood,Mandarins from Belize,images/WeHo/24035805987.jpg,Alice Konitz,2015,Sculpture,616 Croft Avenue,"34.0825,-118.374045","8428, Rangely Street, West Hollywood, Los Angeles County, California, 90048, United States"
34.090325,-118.370401,Art Locations - City of West Hollywood,Net of Indra,images/WeHo/30058108156.jpg,Ned Kahn,2015,Sculpture,8300 Santa Monica Blvd.,"34.090325,-118.370401","West Hollywood City Hall, North Sweetzer Avenue, West Hollywood, Los Angeles County, California, 90046, United States"
34.090197,-118.349283,Art Locations - City of West Hollywood,Close-Up,images/WeHo/25029017238.jpg,Christian Moeller,2016,Sculpture,7302 Santa Monica Blvd.,"34.090196999999996,-118.34928300000001","Avalon West Hollywood, North Fuller Avenue, West Hollywood, Los Angeles County, California, 90046-4101, United States"
34.090383,-118.371835,Art Locations - City of West Hollywood,Under the Sun,images/WeHo/25029008548.jpg,Monique Van Genderen,2017,Sculpture,8350 Santa Monica Blvd.,"34.090383,-118.371835","The Crown Apartments, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.081519,-118.386758,Art Locations - City of West Hollywood,Cabinet of Wonder,images/WeHo/40612739315.jpg,Elena Manferdini,2017,Sculpture,627 La Peer Drive,"34.081519,-118.386758","631, North La Peer Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.093964,-118.375805,Art Locations - City of West Hollywood,Dream Catcher,images/WeHo/25029012948.jpg,Janet Echelman,2017,Sculpture,8500 Sunset Blvd.,"34.093964,-118.375805","The Jeremy Hotel, 8490, West Sunset Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.0829682,-118.3845428,Art Locations - City of West Hollywood,Virginia Court Motel Diver,images/WeHo/637025989637200000.jpg,Unknown,Unknown,Sculpture,647 N San Vicente Boulevard,"34.0829682,-118.3845428","West Hollywood City Pool, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.035591,-118.170193,Nancy Tovar East LA Mural Collection,La 4 Milpas,images/Tovar/21198-zz0025m4s2_1703984_thumbnail.jpg,Unknown,1977,,East Los Angeles,"34.035591,-118.170193","Long Beach Freeway, Belvedere, East Los Angeles, Los Angeles County, California, 90063-3422, United States"
