latitude,longitude,Dataset,title,thumbnail_url,artist_name,year
34.08733,-118.176,LA Controller,Acrylic mural painted on fiberglass mesh,,Wayne Healy,Unknown
34.05038,-118.212,LA Controller,Tile mural,,Ernesto de la Loza,Unknown
34.02138,-118.356,LA Controller,Two exterior murals and sculpture,,Tofer Chin,Unknown
33.98704,-118.467,LA Controller,Multi-part mural,,Betty Dore,Unknown
34.16369,-118.449,LA Controller,Four interior murals,,Hillary Mushkin,Unknown
34.06827,-118.259,LA Controller,Acrylic painted mural,,Francois Bardol,Unknown
34.16526,-118.379,LA Controller,Ceramic tile and wrought iron panels,,Beverly Crist,Unknown
34.08939,-118.168,LA Controller,Ceramic tile mural,,Wayne Healy,Unknown
34.14946,-118.285,LA Controller,Interactive hand washing station,,Armando Alvarez,Unknown
34.14946,-118.285,LA Controller,Fence,,Michael Amescua,Unknown
34.02341,-118.365,LA Controller,Bronze memorial plaque,,Peter/Sally Dudar/Marr,Unknown
34.05425,-118.231,LA Controller,Interior photo murals,,Michael Parker,Unknown
33.96006,-118.38,LA Controller,Front walkway sculpture,,Wayne Healy,Unknown
34.17464,-118.55,LA Controller,Freize panels and landscaping,,Eugenia Butler and Annie Chu,Unknown
33.99107,-118.319,LA Controller,"Concrete colored slabs, mural and interior wood",,Neil Fenn,Unknown
34.10186,-118.316,LA Controller,Fine art glass and video art installation,,Robert Drummond,Unknown
34.17702,-118.614,LA Controller,Multi-part sculptural installation,,Mark Lere,Unknown
34.02046,-118.382,LA Controller,Steel fence sculptural elements,,Helen Lessick,Unknown
33.95362,-118.308,LA Controller,Four ceramic tile murals,,Anne Marie Karlsen,Unknown
34.08362,-118.334,LA Controller,Mosaic tile sculpture and outdoor seating,,Barbara Field,Unknown
34.06184,-118.283,LA Controller,Stainless-steel discs,,Kyungmi Shin,Unknown
33.97027,-118.426,LA Controller,Photographic glass panels,,Anne Marie Karlsen,Unknown
34.2073,-118.4,LA Controller,Stainless steel house sculpture,,Mark Lere,Unknown
34.03612,-118.226,LA Controller,Installation,,Michael Amescua,Unknown
34.06071,-118.241,LA Controller,Neon column sculpture and 3D mural,,Tessie Dong,Unknown
34.06027,-118.307,LA Controller,Ceiling collage,,Nancy Uyemura,Unknown
33.9596,-118.417,LA Controller,Silkscreen panels,,Jill D'Agnenica,Unknown
34.0978,-118.345,LA Controller,Photographic installation and sculpture,,Meg Cranston,Unknown
33.75943,-118.262,LA Controller,Three benches and exterior sculpture,,Harold Greene,Unknown
34.07489,-118.355,LA Controller,Interior and exterior photography,,Jody Zellen,Unknown
34.20883,-118.483,LA Controller,Sculpture,,Lili Lakich,Unknown
33.99449,-118.464,LA Controller,Self-contained box with assemblage of photos,,Jacki Apple,Unknown
34.25795,-118.301,LA Controller,Outdoor handmade ceramic tile bench,,Karen Koblitz,Unknown
34.21443,-118.445,LA Controller,Interior installation of two solar spectrums,,Peter Erskine,Unknown
34.21481,-118.371,LA Controller,Universal diatoms on glass,,Anne Marie Karlsen,Unknown
34.02779,-118.198,LA Controller,Indoor mosaic tile relief,,Xavier Llongueras,Unknown
34.22222,-118.373,LA Controller,Mosaic wall mural,,Paul Tzanetopoulos,Unknown
34.22279,-118.571,LA Controller,Stained glass installation,,Will Nettleship,Unknown
34.0441,-118.525,LA Controller,Interior lobby installation,,Barbara McCarren,Unknown
34.04437,-118.525,LA Controller,Interior neon wall piece,,Will Nettleship,Unknown
34.22825,-118.545,LA Controller,Mixed media,,Will Nettleship,Unknown
34.22956,-118.466,LA Controller,Low relief plaques set on concrete podiums,,John O'Brien,Unknown
33.95787,-118.287,LA Controller,Wrought-iron fence installation and mural,,June Edmonds,Unknown
33.95491,-118.404,LA Controller,Four exterior painted murals anda ceramic sculpture,,Victor Henderson,Unknown
34.23517,-118.534,LA Controller,Interior suspended sculpture,,Jill D'Agnenica,Unknown
34.23649,-118.367,LA Controller,Sculptural tree,,Joe Tyler,Unknown
33.9602,-118.291,LA Controller,Exterior mural,,Michael Massenberg,Unknown
34.24411,-118.45,LA Controller,Mural,,Mara Lonner and Kim Schoenstadt,Unknown
33.7522,-118.294,LA Controller,Four digital prints,,Nancy Webber,Unknown
33.94867,-118.283,LA Controller,Painted mural,,Michael Massenburg,Unknown
34.25724,-118.597,LA Controller,Outdoor painted steel gatewayn,,John Okulick,Unknown
34.03826,-118.233,LA Controller,Installation,,Glenn Kaino,Unknown
34.07371,-118.306,LA Controller,Outdoor sculpture,,Andro Avendano,Unknown
34.12441,-118.266,LA Controller,Rail design for bike bridge,,Paul Hobson,Unknown
34.01987,-118.349,LA Controller,Photo-based mosaic tiles and bronze sculpture,,Kim Abeles,Unknown
34.01093,-118.29,LA Controller,Interior painted mural,,Victor Henderson and Elizabeth Garrison,Unknown
33.92681,-118.045,LA Controller,Pedestrian experience and trellises,,Ned Kahn,Unknown
34.0812,-118.226,LA Controller,Nine stone sculptures,,Freya Bardell and Brian Howe,Unknown
34.17917,-118.602,LA Controller,Neon elements,,Michael Flechtner,Unknown
34.21027,-118.457,LA Controller,Metal cutout designs for bridge,,Paul Hobson,Unknown
33.9934,-118.465,LA Controller,Graphic pattern pavement treatment,,Luke Haynes,Unknown
34.00641,-118.428,LA Controller,Fiberoptic window lighting and aluminium screen,,Deborah Lefkowitz,Unknown
34.04536,-118.446,LA Controller,Medallions from street lighting,,Barbara McCarren,Unknown
34.08002,-118.263,LA Controller,Painted mural,,Ernesto de la Loza,Unknown
34.11349,-117.91,LA Controller,Tile pavers and concrete barrier,,Roberto Delgado and Jose Antonio Aguirre,Unknown
33.77942,-118.254,LA Controller,Sculpture,,Freyja Bardell and Brian Howe,Unknown
