County,count,Year Finished or Found*
West Hollywood,70,"2001,
1989,
2015,
1988,
2009,
1991,
2013,
2013,
2000,
1996,
1997,
2011,
2009,
2002,
2009,
2016,
1991,
1987,
1988,
1987,
2011,
1972,
1987,
1991,
1987,
2017,
1998,
2012,
2001,
1988,
2013,
1981,
2008,
2008,
2002,
2017,
1987,
1991,
2008,
2009,
1988,
2009,
2003,
1990,
1999,
2006,
1989,
1990,
2017,
2015,
2003,
1987,
1989,
1995,
1995,
2003,
1992,
1988,
1996,
1988,
2000,
1995,
2011,
1992,
2008,
2013,
1989,
1950,
1987,
1999,"
West Los Angeles,1,1997
Westchester,7,"1990,
1990,
1990,
1990,
1984,
1984,
1984,"
Westlake,29,"1997,
1989,
1979,
1995,
1989,
1987,
1994,
1994,
1994,
1995,
1997,
1997,
1997,
1999,
1984,
1978,
1976,
1986,
1993,
1993,
1993,
1993,
1993,
1990,
1984,
1990,
1995,
1992,
1985,"
Westmont,1,1997
Westwood,5,"1984,
1984,
1984,
1968,
1970,"
Whittier,1,1937
Willowbrook,3,"1999,
1999,
1999,"
Willowville,2,"1994,
1990,"
Winnetka,3,"1986,
1966,
1968,"
